Participant.ID,condition,a,st,sv,t,v,qtarget_corr_acc,qtarget_incorr_acc,qtarget_corr_acc_perc,no_qtarget_incorr_acc,no_qtarget_corr_acc,Overall_acc,Overall_acc_perc,qtarget_adjusted_score,qtarget_adjusted_score_2,log_adjusted_score,log_adjusted_score_2,dprime,beta,aprime,bppd,c,mean_RT_all,mean_RT_qtar,mean_RT_non_qtar
P033,0-back,1.519013334,0.093648733,0.938864942,0.294642629,5.893511112,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,424.0730584,424.0730584,424.0730584
P033,1-back,1.23853538,0.151807057,1.451383677,0.331629044,4.039043969,8,2,80,0,30,38,95,8,36,3.218875825,3.891820298,3.027418978,0.786071085,NA,NA,-0.079509329,500.4878665,500.4878665,500.4878665
P033,2-back,1.26621747,0.288528789,1.688145107,0.392023338,4.068536211,8,2,80,0,30,38,95,8,36,3.218875825,3.891820298,3.027418978,0.786071085,NA,NA,-0.079509329,558.0077313,558.0077313,558.0077313
P033,3-back,1.60926758,0.410233395,2.063662406,0.329894802,3.124471492,8,2,80,3,27,35,87.5,5,30,3.091042453,3.761200116,1.93151641,2.238706023,NA,NA,0.417235922,627.5060024,627.5060024,627.5060024
P034,0-back,1.071393094,0.130861891,0.943569975,0.268732952,4.506875383,9,1,90,0,30,39,97.5,9,38,3.258096538,3.931825633,3.32079335,1.052970534,NA,NA,0.015543048,385.9447992,385.9447992,385.9447992
P034,1-back,1.229126709,0.074914207,1.057986928,0.312895534,3.964362379,9,1,90,0,30,39,97.5,9,38,3.258096538,3.931825633,3.32079335,1.052970534,NA,NA,0.015543048,467.6732932,467.6732932,467.6732932
P034,2-back,1.656229513,0.337788487,1.38995414,0.394350094,3.810212259,10,0,100,1,29,39,97.5,9,38,3.258096538,3.931825633,3.278394615,4.966107882,NA,NA,0.488847927,641.5604461,641.5604461,641.5604461
P034,3-back,1.506735889,0.306122712,1.353274391,0.410758689,2.376997064,8,2,80,2,28,36,90,6,32,3.135494216,3.80666249,2.148603656,2.016568137,NA,NA,0.326443233,727.580955,727.580955,727.580955
P035,0-back,1.755879259,0.10406849,0.867323195,0.226784717,4.459552954,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,428.339592,428.339592,428.339592
P035,1-back,1.243092922,0.285957774,0.979071655,0.346343054,2.674916963,9,1,90,2,28,37,92.5,7,34,3.17805383,3.850147602,2.457071428,2.781312249,NA,NA,0.416317913,567.7208047,567.7208047,567.7208047
P035,2-back,2.065733446,0.348313435,1.121012983,0.281013573,1.398335804,7,3,70,5,25,32,80,2,24,2.944438979,3.610917913,1.365574314,1.949234547,NA,NA,0.488759014,862.2307213,862.2307213,862.2307213
P035,3-back,1.325197486,0.528815011,1.066402852,0.424457162,1.314990706,6,4,60,5,25,31,77.5,1,22,2.890371758,3.555348061,1.141066845,1.701691924,NA,NA,0.465899967,756.1733871,756.1733871,756.1733871
P036,0-back,2.108690075,0.182945253,1.096011321,0.313949043,4.411849031,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,573.8921102,573.8921102,573.8921102
P036,1-back,2.116673355,0.324672987,1.393757404,0.368164672,3.329472063,9,1,90,0,30,39,97.5,9,38,3.258096538,3.931825633,3.32079335,1.052970534,NA,NA,0.015543048,748.4255578,748.4255578,748.4255578
P036,2-back,1.701009164,0.537255415,0.602971946,0.455487655,1.578165062,8,2,80,2,28,36,90,6,32,3.135494216,3.80666249,2.148603656,2.016568137,NA,NA,0.326443233,932.7583467,932.7583467,932.7583467
P036,3-back,1.871598777,0.354176639,1.206796857,0.365166473,1.365611601,8,2,80,6,24,32,80,2,24,2.944438979,3.610917913,1.492851694,2.371831023,NA,NA,0.578531842,934.4447325,934.4447325,934.4447325
P037,0-back,1.595156388,0.072900828,1.266850568,0.259886864,5.579433859,10,0,100,1,29,39,97.5,9,38,3.258096538,3.931825633,3.278394615,4.966107882,NA,NA,0.488847927,413.3022323,413.3022323,413.3022323
P037,1-back,1.897212295,0.114570166,0.970041597,0.289954608,4.50014931,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,510.236052,510.236052,510.236052
P037,2-back,1.436669587,0.439654425,1.171858728,0.407044096,3.042084937,9,1,90,1,29,38,95,8,36,3.218875825,3.891820298,2.757501173,2.175958484,NA,NA,0.281947024,667.3088096,667.3088096,667.3088096
P037,3-back,1.629900846,0.419070972,2.20115279,0.270785207,2.946150292,7,3,70,2,28,35,87.5,5,30,3.091042453,3.761200116,1.904348509,1.69690851,NA,NA,0.277684505,590.6004061,590.6004061,590.6004061
P038,0-back,1.160851253,0.162302051,1.516896891,0.328124774,3.493539865,9,1,90,8,22,31,77.5,1,22,2.890371758,3.555348061,1.603805465,3.235990062,NA,NA,0.732217812,499.9248276,499.9248276,499.9248276
P038,1-back,1.649793539,0.24600642,0.757330075,0.300699758,1.452326334,6,4,60,5,25,31,77.5,1,22,2.890371758,3.555348061,1.141066845,1.701691924,NA,NA,0.465899967,719.9175688,719.9175688,719.9175688
P038,2-back,3.30649188,0.14156374,0.264696903,0.124170279,0.530944124,5,5,50,17,13,18,45,-12,-4,1.609437912,2.197224577,-0.154179561,0.907153645,NA,NA,0.632012723,895.1916023,895.1916023,895.1916023
P038,3-back,3.469937436,0.166673952,0.152178427,0.146921282,0.381587158,5,5,50,21,9,14,35,-16,-12,0,0,-0.487769821,0.751908713,NA,NA,0.584579738,1173.883309,1173.883309,1173.883309
P039,0-back,1.298158497,0.15297948,1.569999891,0.315684398,4.875418597,9,1,90,0,30,39,97.5,9,38,3.258096538,3.931825633,3.32079335,1.052970534,NA,NA,0.015543048,457.881066,457.881066,457.881066
P039,1-back,1.232620331,0.242675112,1.926352167,0.396685893,3.370403017,7,3,70,1,29,36,90,6,32,3.135494216,3.80666249,2.215175421,1.364096901,NA,NA,0.140166145,583.982189,583.982189,583.982189
P039,2-back,1.610076494,0.458142356,2.04636564,0.42357028,2.661894844,5,5,50,1,29,34,85,4,28,3.044522438,3.713572067,1.797908594,1.212814631,NA,NA,0.107315689,752.2721003,752.2721003,752.2721003
P039,3-back,1.150507625,0.541761151,1.8609256,0.509927272,2.971553836,5,5,50,1,29,34,85,4,28,3.044522438,3.713572067,1.797908594,1.212814631,NA,NA,0.107315689,699.1946354,699.1946354,699.1946354
P040,0-back,1.481186803,0.095658572,1.175783958,0.269563892,3.414990666,9,1,90,0,30,39,97.5,9,38,3.258096538,3.931825633,3.32079335,1.052970534,NA,NA,0.015543048,515.8407884,515.8407884,515.8407884
P040,1-back,1.983958577,0.094548887,1.036687875,0.275064276,3.473838104,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,590.8184573,590.8184573,590.8184573
P040,2-back,1.903786095,0.353711539,0.989538103,0.381366403,1.113346679,7,3,70,6,24,31,77.5,1,22,2.890371758,3.555348061,1.239991731,1.930219975,NA,NA,0.530353515,976.1203273,976.1203273,976.1203273
P040,3-back,1.68113644,0.536139206,0.970741949,0.400362826,1.922399145,8,2,80,3,27,35,87.5,5,30,3.091042453,3.761200116,1.93151641,2.238706023,NA,NA,0.417235922,812.7892531,812.7892531,812.7892531
P041,0-back,2.76655645,0.095908086,2.476621857,0.330620919,3.968241049,7,3,70,3,27,34,85,4,28,3.044522438,3.713572067,1.684021252,1.862234035,NA,NA,0.369221505,717.2687635,717.2687635,717.2687635
P041,1-back,3.193025483,0.233303828,2.126925105,0.36286602,1.095023227,6,4,60,10,20,26,65,-4,12,2.564949357,3.218875825,0.616058177,1.453761461,NA,NA,0.607335999,1033.295894,1033.295894,1033.295894
P041,2-back,3.524160294,0.227489111,0.24111438,0.22787454,0.481529807,5,5,50,16,14,19,47.5,-11,-2,1.791759469,2.397895273,-0.076729624,0.952362416,NA,NA,0.636124938,1240.689847,1240.689847,1240.689847
P041,3-back,3.199259567,0.30232592,0.374088601,0.242352794,0.360127759,5,5,50,17,13,18,45,-12,-4,1.609437912,2.197224577,-0.154179561,0.907153645,NA,NA,0.632012723,1168.159818,1168.159818,1168.159818
P042,0-back,1.499403736,0.185617829,0.838613762,0.35954197,6.771554382,10,0,100,0,30,40,100,10,40,3.295836866,3.970291914,3.831819751,2.370886532,NA,NA,0.225288246,471.8889733,471.8889733,471.8889733
