subj_idx,param,rhat
P019,v(3-back),1.0012609605445124
P019,t(0-back),1.0048104369519908
P019,t(1-back),1.0122876574264128
P019,t(2-back),1.002780664265381
P019,t(3-back),1.0047460323376964
P019,st(0-back),1.002296220757788
P019,st(1-back),1.0044245881675327
P019,st(2-back),1.0015711786849648
P019,st(3-back),1.0034061776865604
P020,a(0-back),1.0159065845204551
P020,a(1-back),1.016669948698749
P020,a(2-back),1.0084305993066787
P020,a(3-back),1.0128981553486835
P020,v(0-back),1.004592242031947
P020,v(1-back),1.0089500704161105
P020,v(2-back),1.0014758749721506
P020,v(3-back),1.003597654232708
P020,t(0-back),1.013379929435941
P020,t(1-back),1.0168394983221294
P020,t(2-back),1.009360932655471
P020,t(3-back),1.014143736358902
P020,st(0-back),1.0042420948481987
P020,st(1-back),1.0066195925542982
P020,st(2-back),1.0062659025325007
P020,st(3-back),1.0135533159858958
P021,a(0-back),1.0082715618521225
P021,a(1-back),1.0214751530423911
P021,a(2-back),1.0051248261304382
P021,a(3-back),1.000574738200883
P021,v(0-back),1.001623161192847
P021,v(1-back),1.0181783869787913
P021,v(2-back),1.0023325892780468
P021,v(3-back),1.0005921235852508
P021,t(0-back),1.0092237981731995
P021,t(1-back),1.0291600056754755
P021,t(2-back),1.0071996944941695
P021,t(3-back),1.0011992215686678
P021,st(0-back),1.0026786540671264
P021,st(1-back),1.0269800116611052
P021,st(2-back),1.0080496855308483
P021,st(3-back),1.0001234823090175
P022,a(0-back),1.0082964239810996
P022,a(1-back),1.006801071109213
P022,a(2-back),1.0089731000715192
P022,a(3-back),1.0005250925033753
P022,v(0-back),1.000634048622281
P022,v(1-back),1.0072856462835644
P022,v(2-back),1.0051396335261367
P022,v(3-back),1.0009236784751332
P022,t(0-back),1.0085085006800774
P022,t(1-back),1.0079781897853142
P022,t(2-back),1.012481806549307
P022,t(3-back),1.0012391481809388
P022,st(0-back),1.0029737423524345
P022,st(1-back),1.0077635162723846
P022,st(2-back),1.0090055294722584
P022,st(3-back),1.001084294207531
P023,a(0-back),1.0031759108088707
P023,a(1-back),1.0069416403763753
P023,a(2-back),1.0102413621520183
P023,a(3-back),1.0039630928479522
P023,v(0-back),1.0013275518276812
P023,v(1-back),1.0031664820565955
P023,v(2-back),1.0023914449246325
P023,v(3-back),1.001404273946958
P023,t(0-back),1.0050334647068606
P023,t(1-back),1.006720902052495
P023,t(2-back),1.0108907495146064
P023,t(3-back),1.0061841452716511
P023,st(0-back),1.003776657424915
P023,st(1-back),1.0020746801670166
P023,st(2-back),1.0057707621428889
P023,st(3-back),1.0049397913968976
P024,a(0-back),1.007255559834452
P024,a(1-back),1.00224836498594
P024,a(2-back),1.0079610898527926
P024,a(3-back),1.0014332362395042
P024,v(0-back),1.0043392679778738
P024,v(1-back),1.000704157228437
P024,v(2-back),1.0038020066977187
P024,v(3-back),1.002362221231735
P024,t(0-back),1.0054267283362006
