Scenario - learning_JJ_english												
Logfile written - 05/17/2023 15:20:58												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
P004	483	Picture	instruct_trial	7178876	0	1	15332	1	0	next	other	0
P004	483	Response	101	7194019	15144	1						
P004	484	Pulse	255	7200000	5626	NA						
P004	484	Response	100	7227279	32904	1						
P004	485	Pulse	255	7230000	2628	NA						
P004	487	Pulse	255	7260000	2131	NA						
P004	488	Response	101	7279838	11803	1						
P004	489	Pulse	255	7290000	9966	NA						
P004	491	Pulse	255	7320000	9469	NA						
P004	492	Response	100	7337208	16511	1						
P004	494	Pulse	255	7350000	2306	NA						
P004	496	Pulse	255	7380000	1975	NA						
P004	496	Response	101	7389929	11903	1						
P004	498	Pulse	255	7410000	9644	NA						
P004	500	Response	101	7439509	8821	1						
P004	501	Pulse	255	7440000	314	NA						
P004	502	Pulse	255	7470000	19981	NA						
P004	504	Response	101	7495599	15250	1						
P004	505	Pulse	255	7500000	4318	NA						
P004	507	Pulse	255	7530000	3821	NA						
P004	508	Response	101	7549199	12855	1						
P004	510	Pulse	255	7560000	324	NA						
P004	511	Pulse	255	7590000	10159	NA						
P004	512	Response	100	7602789	12782	1						
P004	514	Pulse	255	7620000	6829	NA						
P004	516	Pulse	255	7650000	6498	NA						
P004	516	Response	101	7656131	12629	1						
P004	518	Pulse	255	7680000	13333	NA						
P004	520	Pulse	255	7710000	13003	NA						
P004	520	Response	100	7712209	15211	1						
P004	522	Pulse	255	7740000	17338	NA						
P004	524	Response	100	7765329	12336	1						
P004	525	Pulse	255	7770000	4509	NA						
P004	527	Pulse	255	7800000	4011	NA						
P004	528	Response	100	7820258	14104	1						
P004	529	Pulse	255	7830000	9680	NA						
P004	531	Pulse	255	7860000	9183	NA						
P004	532	Response	101	7870727	9744	1						
P004	534	Pulse	255	7890000	8852	NA						
P004	536	Pulse	255	7920000	8521	NA						
P004	536	Response	100	7924038	12559	1						
P004	538	Pulse	255	7950000	15523	NA						
P004	540	Response	101	7973818	9011	1						
P004	541	Pulse	255	7980000	6027	NA						
P004	543	Pulse	255	8010000	5529	NA						
P004	544	Response	100	8024087	9451	1						
P004	546	Pulse	255	8040000	5532	NA						
P004	548	Pulse	255	8070000	5201	NA						
P004	548	Response	101	8074188	9389	1						
P004	550	Pulse	255	8100000	15370	NA						
P004	552	Response	101	8127398	12437	1						
P004	553	Pulse	255	8130000	2540	NA						
P004	555	Pulse	255	8160000	2043	NA						
P004	556	Response	100	8179468	11345	1						
P004	558	Pulse	255	8190000	46	NA						
P004	559	Pulse	255	8220000	9881	NA						
P004	560	Response	101	8232428	12143	1						
P004	562	Pulse	255	8250000	7050	NA						
P004	564	Pulse	255	8280000	6720	NA						
P004	564	Response	100	8281897	8617	1						
P004	566	Pulse	255	8310000	17721	NA						
P004	568	Response	100	8331858	9248	1						
P004	569	Pulse	255	8340000	8058	NA						
P004	571	Pulse	255	8370000	7561	NA						
P004	572	Response	101	8381737	9131	1						
P004	574	Pulse	255	8400000	7730	NA						
P004	576	Pulse	255	8430000	7399	NA						
P004	576	Response	101	8433637	11036	1						
P004	578	Pulse	255	8460000	15901	NA						
P004	580	Response	100	8488767	14338	1						
P004	581	Pulse	255	8490000	1072	NA						
P004	583	Pulse	255	8520000	574	NA						
P004	584	Response	100	8547137	17546	1						
P004	585	Pulse	255	8550000	2743	NA						
P004	587	Pulse	255	8580000	2246	NA						
P004	588	Response	100	8606417	18497	1						
P004	589	Pulse	255	8610000	3415	NA						
P004	591	Pulse	255	8640000	2918	NA						
P004	592	Response	100	8660288	13040	1						
P004	593	Pulse	255	8670000	9587	NA						
P004	595	Pulse	255	8700000	9089	NA						
P004	596	Response	101	8709647	8571	1						
P004	598	Pulse	255	8730000	9925	NA						
P004	600	Pulse	255	8760000	9594	NA						
P004	600	Response	100	8762188	11782	1						
P004	602	Pulse	255	8790000	17430	NA						
P004	604	Response	100	8813635	10734	1						
P004	605	Pulse	255	8820000	6267	NA						
P004	607	Pulse	255	8850000	5769	NA						
P004	608	Response	100	8864157	9761	1						
P004	610	Pulse	255	8880000	5439	NA						
P004	612	Pulse	255	8910000	5108	NA						
P004	612	Response	101	8926675	21783	1						
P004	614	Pulse	255	8940000	2944	NA						
P004	616	Pulse	255	8970000	2613	NA						
P004	616	Response	100	8976707	9321	1						
P004	618	Pulse	255	9000000	12782	NA						
P004	620	Response	101	9027606	10057	1						
P004	621	Pulse	255	9030000	2285	NA						
P004	623	Pulse	255	9060000	1788	NA						
P004	624	Pulse	255	9090000	21622	NA						
P004	624	Response	101	9101156	32778	1						
P004	626	Pulse	255	9120000	8459	NA						
P004	628	Pulse	255	9150000	8128	NA						
P004	628	Response	100	9150567	8695	1						
P004	630	Pulse	255	9180000	18963	NA						
P004	632	Response	100	9201437	10069	1						
P004	633	Pulse	255	9210000	8467	NA						
P004	635	Pulse	255	9240000	7970	NA						
P004	636	Response	101	9251826	9630	1						
P004	638	Pulse	255	9270000	7639	NA						
P004	640	Pulse	255	9300000	7308	NA						
P004	640	Response	100	9301386	8694	1						
